review_clean,emotion_label,label,fold
Rating: 5. Kategori: Toys and Hobbies. Teks: barang sesuai deskripsi. pengiriman cepat. recommended seller.,happy,0,1
"Rating: 5. Kategori: Gaming. Teks: mantap, biar bisa bernostalgia eranya masih maen rame dulu pas jaman masih liburan sekolah",love,1,1
Rating: 4. Kategori: Mother and Baby. Teks: bahannya enak bagus dan nyaman,happy,0,4
Rating: 2. Kategori: Household. Teks: rangka besi sangat tipis dan lemah. tertulis bahwa berat maksimum yang dapat ditopang adalah 40kg. tapi belum sampai 10kg saja sudah ambruk karena keberatan.,anger,2,2
Rating: 1. Kategori: Sport. Teks: jelekkk sepatu nya tidak,anger,2,2
"Rating: 5. Kategori: Kitchen. Teks: barang sudah diterima sesuai deskripsi dan pengiriman cepat, thx",happy,0,1
"Rating: 4. Kategori: Books. Teks: maaf baru kasih ulasan. buku nya bagus, berwarna, tulisan nya juga jelas, tapi ada di brapa halaman lem nya gx kuat ya, jadi pada copot lembaran nya. seller, dan kurir oke",happy,0,0
Rating: 1. Kategori: Phones and Tablets. Teks: sangat kecewa dengan barang yang di terima segel samsung sudah terbuka katanya dari sananya di dlm plasti segel ada kartu byu sudah di buka segel pelaatiknya yang makin parah layar banyak sidik jari tertinggal baru buka curiga curang tokonya barang mukin di tukar2 sama yang kw seperti kepala carger kabel dll hati2 di toko ini harus lebih waspada dan di tanya detail kedua penjelasan juga tidak bisa selalu bilang tidak tau kaka dari sana dari sana kalau dari samsung asli sesuai pembicaraan buat apa samsung buat segel bahkan ada tulisan jangan terima segel rusak kurang baik pokonya toko ini ngerasa barang bekas,sadness,4,4
Rating: 5. Kategori: Body Care. Teks: bagusss tidak pernah mengecewakan packingnya aman banget. kemasan bar sekarang ?,love,1,4
Rating: 5. Kategori: Camera. Teks: lumayan ckup bgus sesuai hrga lah ya agk tipis yang hitam tapi bgus kok semoga tidak rembes dpake hujan2,happy,0,2
Rating: 1. Kategori: Sport. Teks: bulatan besi yang disekrup tidak ada dan salah satu ujungnya tidak bisa diputar.,fear,3,4
Rating: 2. Kategori: Movies and Music. Teks: tidak berfungsi dengan baik,sadness,4,2
Rating: 5. Kategori: Kitchen. Teks: material produk bagus. ukuran produk sesuai.,happy,0,3
Rating: 4. Kategori: Beauty. Teks: barang aman cuman pengiriman lama,happy,0,3
Rating: 2. Kategori: Carpentry. Teks: packing nya jelek. casing nya penyok .kualitas jg kurang.bbrp tidak pas ditempat nya,anger,2,3
Rating: 1. Kategori: Beauty. Teks: mengecewakan barangnya yang datang,sadness,4,4
"Rating: 1. Kategori: Office & Stationery. Teks: packing hanya pakai selembar plastik kresek, kertas basah semua",fear,3,2
Rating: 1. Kategori: Household. Teks: mur sama bautnya kurang dan penjual pertama bilang akan respon setelah 5 7hari setelah 2 minggu masih saja tidak ada solusi. disuruh kirim balik bagian jemuran padahal yang kurang cuma mur sama baut dibikin ribet akhirnya itu bagian bawah tidak bisa dipake. kurang profesional penanganannya,anger,2,0
"Rating: 1. Kategori: Beauty. Teks: diluar expektasi saya, benar benar ukuran super mini, tidak ada bedanya dengan box, kontener yang di pasar, yang 3, tingkt, cma karena ada space, diatas ,itu saja kelebihanya, saya ukur lebarnya cuma sejengkal ,antar jempol ibu jari dan dan jari tengah ,benar benar kecil. dengan harg lumayan mahal?",anger,2,0
Rating: 4. Kategori: Kids and Baby Fashion. Teks: warna pinknya tdk sesuai?,fear,3,1
"Rating: 1. Kategori: Mother and Baby. Teks: aduh parah deh kualitasnya . respons konfirmasi order sampe 2 hari , paa barang datang baru jg dipakai 2 jam masa bolong pas bagian miss v nya .ckckckc kecewa banget! trus bahannya jg nerawang alias tipis dan pengait bagian perutnya jg gmpang lepas .hadeuh kapok beli produk mamas choice deh",anger,2,2
"Rating: 2. Kategori: Men's Fashion. Teks: respon cepat tapi sayang tdk sesuai harapan. ukuran s nya besar, kantong kiri kanan terlalu bawah, tanda pangkat di pundak sebelah kiri tidak simetris miring, sebelah kanan posisi kancing tdk pas sehingga melengkung. kesannya yang menjahit asal asalan. tidak rekomendasi",fear,3,2
Rating: 1. Kategori: Food and Drink. Teks: yang dateng sangat sangat beda dengan yang di foto,fear,3,4
"Rating: 1. Kategori: Phones and Tablets. Teks: baru 2 hari pemakaian, kindle paperwhite nya rusak. penjual tidak mau di return dan bantu klaim garansi. sedih bangettt. ?",sadness,4,2
Rating: 4. Kategori: Movies and Music. Teks: barang udah nyampe .makasih broo,happy,0,0
Rating: 1. Kategori: Office & Stationery. Teks: patah2 dan barang nekas di buka dari packaging nya,fear,3,3
"Rating: 5. Kategori: Body Care. Teks: kemasan ok, aman banget isi sangat banyak. produknya nyaman dipakai",happy,0,1
Rating: 5. Kategori: Phones and Tablets. Teks: mantul boskuhhh barang istimewa,love,1,1
"Rating: 5. Kategori: Party Supplies and Craft. Teks: mantap paket sudah sampai,makasih ya gan.sukses selalu gan ?",love,1,3
Rating: 5. Kategori: Electronics. Teks: suaranya mantap . packaging aman . barang mudah digunakan.,happy,0,2
Rating: 4. Kategori: Beauty. Teks: proses pengirimannya cepat. warna sesuai pesanan hitam doff. tapi kenapa doffnya ada yang bocel ? jadi nga sesuai ekspektasi deh ?,sadness,4,1
Rating: 5. Kategori: Party Supplies and Craft. Teks: barang sudah sampai dengan selamat barang sesuai dengan deskripsi produk packing oke recommended seller!,love,1,4
"Rating: 5. Kategori: Movies and Music. Teks: bahannya bagus, seler ramah",happy,0,3
Rating: 5. Kategori: Precious Metal. Teks: terpercaya,happy,0,3
"Rating: 1. Kategori: Party Supplies and Craft. Teks: kesan pertama tidak baik.parkiran gojek menjadi tanggung jawab pembeli.kapok ah, beli ditoko ini lagi.semoga lancar saja bos.",fear,3,2
Rating: 5. Kategori: Animal Care. Teks: selalu the best banget deh. anabul tidak usah di train saja langsung tau ?,love,1,4
Rating: 4. Kategori: Phones and Tablets. Teks: build kokoh. kakinya gampang diatur. berfungsi dengan baik. berfungsi dengan baik.,happy,0,3
Rating: 5. Kategori: Precious Metal. Teks: selalu puas dan langganan pengiriman super cepat top pokoknya?,happy,0,0
Rating: 5. Kategori: Carpentry. Teks: waahh keren n mantap barangnya.pengiriman cepet banget cuma 1 hari udah nyampe.thanks gan,happy,0,2
Rating: 2. Kategori: Beauty. Teks: ada satu yang salah dong pengirimanya gimana kurang teliti,fear,3,4
"Rating: 1. Kategori: Health. Teks: barang yang dikirim tidak ada remote nya, tidak lg belanja disini, toko kurang teliti",anger,2,2
Rating: 1. Kategori: Toys and Hobbies. Teks: barang tidak berfungsi tidak bisa jalan.,sadness,4,4
Rating: 5. Kategori: Party Supplies and Craft. Teks: produk bagus. paking aman rapi. respon kirim cepat.,happy,0,3
"Rating: 5. Kategori: Party Supplies and Craft. Teks: lilinnya bagus, tidak berbau tahan s d 5 jam",happy,0,2
"Rating: 1. Kategori: Camera. Teks: lemah tidak kuat berdiri,apalagi untuk posisi menunduk sedikit saja sudah mau jatuh,tidak kuat menahan berat hp",sadness,4,0
"Rating: 5. Kategori: Men's Fashion. Teks: respon cepat, paket nya juga rapi dan dikirim dengan baik, terima kasih ?",happy,0,4
Rating: 5. Kategori: Women's Fashion. Teks: ukuran sesuai. ringan dipakai. warnanya bagus .,happy,0,3
"Rating: 1. Kategori: Electronics. Teks: sama sekali tidak bisa dipakai, pas dicolokin ke laptop bisa nyala, abis masukin cd, cd tidak terbaca, pas mau dikeluarin cd nya tidak bisa, sekarang cd saya masih didalem external cd ini, hadeehh jadi nambah urusan",sadness,4,2
"Rating: 5. Kategori: Kitchen. Teks: brg sesuai realpict, kertasnya tebal, puas belanja di toko ini. terimakasih ?ukuran produk sesuai.",happy,0,1
"Rating: 1. Kategori: Kids and Baby Fashion. Teks: hati hati kalau beli barang di toko ini, deskripsi penjual dan real barang datangnya harus jelas di lihat. bacain saja tiap ada pembeli bintang 1 komentar di produknya, respon penjual gimana, chat penjual tidak mencerminkan seseorang yang baik.",fear,3,4
Rating: 5. Kategori: Health. Teks: bagus suka udah 2 x pesen di sini ketagihan bahan alus .,happy,0,4
"Rating: 1. Kategori: Sport. Teks: cuman bisa dipanjangin sebelah, sebelah yang nga bs dipanjangin sudah karatan, karet yang dikasih mudah lepas, nga dikasih kotak, kondisi barang seperti barang seken, nga dikasih baut sama karet kecil, kalau emg ada double check dari pihak speeds knp hal sepele untuk satu produk saja bs begini kejadiannya?",fear,3,3
"Rating: 3. Kategori: Kitchen. Teks: sebenarnya untuk kualitas produk bagus, original. tapi kecewa sama pelayanannya. admin slow respon banget negative respon , orderan sudah diproses tapi resi invalid. waktu pengiriman via ekspedisi cepat, yang lama proses di intern admin official store.",sadness,4,4
"Rating: 5. Kategori: Animal Care. Teks: pembelian keranjang kargo kucing ke 3, tidak pernah tidak puas beli di sini, harga terbaik, seller fast response dan packing nya juara. aman banget pakai kardus segala. badabest lah, dapet bonus pula",happy,0,4
Rating: 5. Kategori: Camera. Teks: jkt bdg cmn butuh waktu semalem packing nya mntp pack nya rapi kgak d lecet suara nya enak bet buat rekaman fingerstyle akustik gatau sudah mntp pokoknya,happy,0,2
Rating: 2. Kategori: Beauty. Teks: packingnya cuma kardus saja jadi ada bagian laci yang pecah,sadness,4,2
Rating: 1. Kategori: Movies and Music. Teks: selangnya longar untuk pianika yamaha original. jadinya tidak bisa dipake.,sadness,4,0
Rating: 5. Kategori: Men's Fashion. Teks: sesuai pesanan. bahan nyaman dipakai.penjual fast respon. packing juga rapiii.,happy,0,0
Rating: 1. Kategori: Automotive. Teks: sangat kecewa.barang rejectan di jual.pelayanan sangat buruk.kya tidak butuh uang.respon buruk parah.kalo barang tidak ada bisa konfirmasi dlu.gak asal kirim yang dibeli apa yang dikirim apa,sadness,4,3
"Rating: 4. Kategori: Muslim Fashion. Teks: bagus, admin garcep warna kosong langsung konfirmasibahannya adem. jahitan rapi. warnanya cantik .",happy,0,2
"Rating: 4. Kategori: Mother and Baby. Teks: proses cepat, pengiriman juga cepat, dapet promo juga, thanks seller",happy,0,4
"Rating: 4. Kategori: Men's Fashion. Teks: overall semua oke, seller respon dan pengiriman. tapi untuk talinya kurang kuat, baru beberapa x pakai sudah putus. next agar dibagusin lg ya. thx",happy,0,3
"Rating: 2. Kategori: Phones and Tablets. Teks: barang rusak ? di charge hp tidak ngisi , udah ngisi ee.tau tau ngilang susut lagi , di kirain changer, di coba dengan kabel lain bagus. besoknya di coba lagi masih juga begitu. ya. ternyata barangnya yang tidak bagus.",fear,3,2
"Rating: 5. Kategori: Movies and Music. Teks: respon cepat, kiriman cepat, barang sesuai, recommended seller",love,1,0
Rating: 5. Kategori: Mother and Baby. Teks: desain ergonomis. tekstur empuk. bayi jadi tenang. gampang dipakai,happy,0,3
Rating: 4. Kategori: Muslim Fashion. Teks: alhamdulillah bagus,happy,0,3
Rating: 1. Kategori: Body Care. Teks: pesen 10 dikirim 4,fear,3,3
"Rating: 5. Kategori: Books. Teks: brg sesuai deskripsi, sukses selalu",happy,0,0
"Rating: 5. Kategori: Camera. Teks: paket sudah sampai dan sesuai dengan pesanan, remote shutter nya berfungsi dengan baik dan tidak ribet kalok mau dipakai, praktis dibawa kemana ?",happy,0,0
"Rating: 1. Kategori: Gaming. Teks: baru pakai beberapa minggu saja, kabel usb nya udah nga bisa nge charge. dan yang pasti kabel nya harus khusus beli di tempat dia. bagi kalian yang mau beli, mikir2 dulu de.mending beli stick yang lain. tanya sama admin nya, solusi harus beli dan harganya seratus ribu. quality cemen kek gini di kasih harga segitu. mikir donk.",fear,3,3
Rating: 1. Kategori: Body Care. Teks: penjual apaan. barang tidak diterima. diajukan pengembalian dana malah hr ini dapat notif sudah selesai dan dana akan diteruskan ke penjual. woi. balikan dana saya,anger,2,2
"Rating: 1. Kategori: Other Products. Teks: gatel di tenggorokan jangan beli deh loe,nyesel saya beli",fear,3,1
Rating: 5. Kategori: Animal Care. Teks: ini yang ke 2x aku pesan alhamdulillah brg sesuai pesanan n tepat wkt . terimakasih . recommended seller ?,love,1,0
"Rating: 3. Kategori: Books. Teks: over all bagus, hanya pengirimannya sedikit bermasalah, terimakasih",happy,0,0
"Rating: 1. Kategori: Health. Teks: kecewa, hadiahnya tdk dtg sesuai info dan tdk dikbrin jg tdk ada ?",sadness,4,1
"Rating: 1. Kategori: Carpentry. Teks: pelayananya buruk, harus ditingkat lg",fear,3,1
"Rating: 2. Kategori: Gaming. Teks: memorynya sudah ke buka wktu sya trima. tdk ada segelan, kondisi sudah agak busam. aku coba sudah 3 kali belum bisa dipakai",fear,3,3
Rating: 1. Kategori: Other Products. Teks: beli tapi paketan datang tidak dikasih penyok sudah,anger,2,2
"Rating: 1. Kategori: Electronics. Teks: saya pernah usaha jadi saya tdk mau menjelekan usaha org, sya toleransi klo pertama beli colokan rusak saya anggap kurir, tpi transaksi ke 2 ini lampu 2dari 3 hanya nyala setengah, bagaimana admin jualan tidak cek dulu sebelum pac d kirim. jujur saya kecewa, saya beli barang mungkin murah tapi bukan yang rusak donk. cukup terakhir kali belanja di toko ini ?",anger,2,2
Rating: 2. Kategori: Books. Teks: cepat pwngirima.tp sayanng beli 6 buku tapi ada 1 buku yang sebagian halamannya kepotong sehinggaa 1 buku tsbut jadi tidak bs dipakaii.sy sudah keburu konfirmasi penerimaan tanpa melihat bukunya dl.stlah konfirmasi dengan penjual alias japri jawaban kurang memuaskan.,sadness,4,1
"Rating: 5. Kategori: Gaming. Teks: joystick berfungsi dengan baik, plug and play. build quality kokoh, terdeteksi dengan baik di steam.",happy,0,0
Rating: 5. Kategori: Sport. Teks: nyaman dipakai yoga . produk sesuai ekspektasi.,happy,0,3
"Rating: 1. Kategori: Food and Drink. Teks: packing berantakan, sungguh mengecewakan",sadness,4,1
"Rating: 1. Kategori: Women's Fashion. Teks: diskon nya nipu,barang nya ternyata sesuai dengan harga",fear,3,2
Rating: 1. Kategori: Office & Stationery. Teks: sangat sangat sangat sangat slow respon,anger,2,3
"Rating: 1. Kategori: Movies and Music. Teks: pas pertama datang barang tidak berfungsi. coba2 lagi akhirnya sempat berfungsi. suara keterima dengan baik. transaksi langsung saya klik selesai. tapi besoknya ternyata error lagi sampai sekarang. sebetulnya di sisi penjual tidak ada masalah, pertanyaan dijawab dengan baik. cuma produk error setlh transaksi diklik selesai. tidak yakin juga bakal bisa diretur. kepaksa ulasan diedit jadi bintang 1. jadi balik lagi deh pakai yang model kabel.",fear,3,1
Rating: 5. Kategori: Computers and Laptops. Teks: barang udah sampai ya gan dan berfungsi. terima kasih,happy,0,1
"Rating: 2. Kategori: Camera. Teks: murah sesuai harga tapi barangnya kerass banget butuh 2 tangan dan ringan, tidak berat. jadi untuk harga murah begini ya gausah ekspektasi tinggi2.",fear,3,4
"Rating: 5. Kategori: Toys and Hobbies. Teks: begitu sampe langsung dibuat kreasi, anak2 seneng banget pengiriman jg cepat, makasih seller",love,1,1
"Rating: 2. Kategori: Health. Teks: proses dan pengiriman lama, tidak recomended buat yang ingin cepat dapat vitamin di masa pandemic kaya sekarang",fear,3,1
"Rating: 4. Kategori: Phones and Tablets. Teks: barang cepat sampai, tapi ad sedikit keteken kardus hpnya. semoga tidak kenapa hpnya",happy,0,0
Rating: 1. Kategori: Sport. Teks: ada lubang di matras pas buka plastiknya,sadness,4,4
"Rating: 5. Kategori: Movies and Music. Teks: mantap, bagus dan teba",happy,0,0
"Rating: 2. Kategori: Household. Teks: beli pertama warna biru, packing hanya plastik hitam. kurir instant datang2 lemas, katanya paket sempat jatuh dan terseret sedikit, plastik dan bantal sobek. kurir beratnggung jawab dan pesankan lagi warna hitam pakai toko online lain. hari ini tiba sama saja cuma dimasukkan plastik kresek padahal bukan instant dan setelah dibuka ada sobek pada sarung bantalnya. boleh sedikit usaha bungkus agak tebalan lah, pakai bubble wrap murah kok. kalau yang pertama pakai bubble wrap pasti tidak akan sobek plastik dan sarung bantalnya. barang lumayan karena pelit packing ya beginilah.",fear,3,1
"Rating: 2. Kategori: Camera. Teks: sorry banget nih, namanya review kan harus jujur ya,agak kecewa sama warnanya saja pesannya mustard yang dateng orange, kupikir salah kirim ternyata menurut penjualnya mustard kayak gitu warnanya, padahal klo pun salah kirim saya tidak nuntut apa apa",sadness,4,3
Rating: 4. Kategori: Gaming. Teks: lcd nya kurang bagus.lumayan buat hiburan tapi layarnya kecil.kabel casan berfungsi tapi tidak dikasih colokannya.semoga amanah terus gan.,happy,0,0
Rating: 4. Kategori: Kids and Baby Fashion. Teks: nyaman dipakai si kecil. ukuran sesuai. bahannya tebal. bahannya berkualitas. empuk buat jalan. modelnya keren . motifnya kekinian.,happy,0,3
"Rating: 2. Kategori: Kitchen. Teks: dudukan tatakan kompornya diterima sudah patah. akhirnya harus ke tukang las, benerin lg. keluar duit lg",sadness,4,3
"Rating: 5. Kategori: Other Products. Teks: makasih , barang jadi aman sampai di tujuan,",happy,0,4
"Rating: 1. Kategori: Beauty. Teks: barang yang di datang tdk sesuai pesanan, proses komplain sangat lma dan berbelit belit",anger,2,4
