review_clean,true_emotion,pred_emotion,confidence
tokonya tidak sportif tidak koperatif pengalaman buruk belanja di toko ini barang cacat diajukan keluhan tapi tidak bertanggung jawab di chat lewat tokped ataupun wa tapi tanggapannya muter muter doang kebanyakan basa basi padahal tidak mau bertanggung jawab lu makan tuh uang buat istri lu hati hati dengan toko ini,anger,fear,0.5053588
dusnya robek dan terbuka kemasannyaa,fear,sadness,0.686116
barang sampai dg cepat ttp dlm kondisi basah dan bau apek kenapa bisa begitu ya padahal didalam plastik,fear,anger,0.49998236
tidak sesuai gambar,sadness,fear,0.63165367
pesan 3 yang sampai 2 semoga berkah deh yg curangin,anger,fear,0.42726076
beda yg dipesen sama yg datang,fear,sadness,0.7391708
beli 3 pcs 2 pcs tidak berfungsi barang disegel service dan pernah bongkaran komplain dipusat resolusi tidak dtanggapi,sadness,fear,0.4269095
thanks atas respon nya informasi yg diberikan jelas product nya oke bgt uda 2x order kesini barang yg di kirim rapi n cpt sampe nya,love,happy,0.70269096
wangi amis tdk seperti merk lain,anger,sadness,0.48417723
jamnya bagus banget produk sesuai dengan foto nyaman dipakai,love,happy,0.6565777
lilinnya udah rusak banget goldnya,fear,anger,0.52210486
percuma pakai box extended kardus unitnya tetap aja penyot kecewa lah kasih bobble warp kek,sadness,anger,0.6358913
percuma jg kasih buble warp dikasih brg reject pabrik ga bs kasih pot pula rese,anger,fear,0.50120157
chatt hampir ga ada respond,anger,fear,0.6441903
minta warna coklat dikirim hitam bilangnya ready,sadness,fear,0.33894417
lama bgt,anger,sadness,0.47618562
uda di noted tulung di cek baik baik mungkin drivernya kali ya yg patahin 1 j hook patah 2 3m rusak kyk keteken kucel mirip duit lama pdhal pembelian pertama memuaskan knpa yg kedua begini lain x tulung di cek lebih teliti lagi yah,fear,sadness,0.42249578
barang udah sampai maaf baru konfirmasi sesuai review di yt barangnya rekomended buat yang mau menekan cost,love,happy,0.51368964
pesannya hitam datang barangnya biru kesal kali dan malas komplain,anger,sadness,0.790592
terakhir chat sekaligus memastikan bilangnya merek gm bear yg akan dikirim ternyata kardusnya ajah yg merek gm bear tp isinya merek lain buck i barang datang ga sesuai kesepakatan ini mah bohong namanya,fear,anger,0.66602427
pesan tanggal 2 maret jam 9 pakai pengiriman instant sampai nya tanggal 3 maret padahal sudah bayar mahal dikirimnya keesokan harinya bukan salah pengantarnya driver go send nya sudah mengantarkan paket dengan baik tapi durasi proses dari toko sangat lama padahal butuhnya tanggal 2 maret makanya saya pilih pengiriman instant saya juga sudah tanya pihak toko jika paket bisa dikirim hari itu juga atau tidak jawabannya bisa tapi kenyataannya paket saya tidak dikirim pada hari itu juga kalau tidak bisa dikirim hari itu juga ya bilang saya juga sudah ajukan cancel pesanan juga tidak ada respon dari penjual pelayanan sangat sangat buruk tidak recommended semoga lebih baik lagi kedepannya,fear,sadness,0.39422655
baguusss sarungnya,love,happy,0.74117416
dipenjualan tertulis obeng magnet bohong obengnya ga magnet sama sekali akan sulit untuk yang baru belajar jika tidak memiliki alat yang lengkap kecewa parah,sadness,anger,0.78749466
mudah n awet tp kainnya kurang nyerap kalo di lantai granit masih ninggalin bekas,sadness,happy,0.42903504
dapat bekerja dengan baik dan nyaman di kuping bassnya mantaap,love,happy,0.5262465
kalo mau kirim baca note nya dong masa tiga2 nya dikirim warna sama trus fungsinya catatan buat apa,anger,fear,0.57953775
pengiriman sangat lama diluar estimasi yg tercantum,fear,sadness,0.6692422
promo yang ditawarkan marketing s3 payah alibinya free gimmick hanya berlaku pada toko di wilayah tangerang sedangkan barang yang di tawarkan di toko tangerang tidak ada free gimmick tersebut tapi kenapa dicantumkan di toko cabang aneh sekali,anger,fear,0.6877998
patah kaitannya gak bsa dipake deh,sadness,fear,0.47759208
dari segi estetik bagus banget tapi cengkramannya kurang jadi kalo di pake kadang suaranya geter meskipun bisa dipake dengan harga segitu sangat worth it apalagi designnya yang elegant,happy,love,0.62328047
baru dua kali di pake udah mulai rusak kainnya gak rekomendasi banget barangnya mudah rusak,fear,sadness,0.5886494
aromanya bikin pusing dan mual,anger,sadness,0.6699735
pesen 2 lapis dikasih selapis untung aja visornya aman amsyong,anger,happy,0.6445146
barang tidak lengkap,fear,anger,0.4988277
seller tidak ramah sedikitpun saya mau batal dulu baru nambah pesanan biar hemat ongkir seller tidak mau menerima pengajuan pembatalan saya katanya harus check out ulang lg dgn dana lbh besar di deskripsi produk jg ga ada aturan ini ya ga mau lah nanti dikirim dua2nya sama seller rese macam gini rugi dobel nanti tokped juga tidak bisa membantu sedikitpun cuman suruh diskusiin aja terus sama penjual keras kepala macam ini very not recommended kapok,sadness,fear,0.6571263
alhamdulilah jilbabnya bagus nggak nerawang dapat diskon juga dari tokped makasii seller,happy,love,0.861447
pengiriman cepet banget bahan dan kualitas bagus banget,love,happy,0.5701018
packing pengiriman kurang aman hanya dilapisi plastik tipis sehingga dpt menyebabkan kerusakan pada produk dan produk yg saya terima mengalami lekukan pada tutup dan menimbulkan bercak sehingga tidak bisa menutup rapat sehingga untuk ke depan mohon dapat memberikan packing yg lbh aman agar penjual dan konsumen sama2 nyaman,sadness,fear,0.8226424
packingnya best banget deh pokoknya aman kotak juga di double in ada sterofoam didalam kotak jadi botol aman,love,happy,0.68852884
barang tidak sesuai gambar payah,anger,sadness,0.6445781
kualitas barang bagus harga relatif murah kiriman super cepat response penjual baik recommended seller bintang 5 terima kasih yah semoga sukses usaha nya aamiin,happy,love,0.70225716
barang tidak dikirim dikasih resi kosong,fear,anger,0.49843127
sablonan tidak bagus klo dicuci nempel,sadness,fear,0.5825275
barangnya original kemasan disegel tapi kok gk ad buku garansi y sma anti gores sofkeswarna sesuai pesanan,happy,sadness,0.39122736
pegawai nya kurang fokus nih pengiriman kurang satu bukunya kirim lagi dengn nama yang lain lagi,anger,fear,0.49279392
udah pesen pke dus gak ada dus nya mending gak udah pke dus dah,anger,sadness,0.35520354
packing hancur sampai lebur sampai rumah,sadness,anger,0.6488966
kondisi barang agak kotor sulit dibersihkan,fear,sadness,0.6863986
proses pesanan dan pengiriman barang cukup cepat produk sesuai deskripsi seller responsif sukses dan tetap jaga protokol kesehatan ya seller terima kasih,love,happy,0.9840984
tidak menerawang mudah dibentuk jahitan rapi bahannya adem nyaman dipakai modelnya cantik warnanya cantik,love,happy,0.5998365
delivery packing mantap pengiriman cepat barang build quality mantap solid responsif juga kyknya beneran ori rumble ada amiibo ke detect klik home button auto on,happy,love,0.5103278
padahal yg diminta dino sama unicorn mlh yg dtg mickey mouse anak saya kecewa loh mba,sadness,anger,0.8333257
bahan dan model bagus hanya saja size terlalu kecil udah up 1 size masih ngepas modelnya kekinian,happy,sadness,0.7099601
pengriman lama bukan dr kurirnya tp sellernya yg lemot krim ke ekspedisi nya dn barang juga kurang 1pcs,anger,fear,0.5904096
nyaman untuk olahraga harga bersaing dijamin termurah,love,happy,0.783218
pesan 3 buah xxxl ukuran lingkar dada 52 cm yg datang 43 44 dan 45 cm jauh bos ukurannya cuma kepake buat lap motor aja ini mah,anger,sadness,0.6128051
pelayanan sangat memuaskan dan memberikan yang terbaik penjual sangat responsif untuk menjelaskan kalau di tanyain,happy,love,0.5826582
lain kali sebelum kirim barang di cek dulu berfungsi atau tidak pertama dinamo ny tidak ada yaa walaupun seller kirim dinamo nya tapii tetep tidak berfungsi motor nya lampu musik tombol dan mesin ny gk nyala udh di ces berhari ttep ajh gk mau nyala,fear,sadness,0.5712434
sangat kecewa ini real yg saya alami silahkan baca chat saya dgn seller ini sebelum membeli barang dikirim tidak sesuai pesanan sudah diretur tapi cerdiknya seller tidak mengirimkan pesanan saya yg seharusnya saya pesan sudah 15 hariii lhoo guys uang tidak kembali barang pun tidak sampai haha silahkan saja jika seller sanggup bawa ke akhirat semoga kalian tidak tertipu seperti saya,anger,sadness,0.8159938
barang jelek sesuai harga,sadness,anger,0.662367
recommended barang sesuai seller gercep pengemasan mantap banget,happy,love,0.94627035
kapok beli disini,anger,fear,0.8436046
respon lambat,fear,sadness,0.72871476
kualitas barang jelek penguncinya sudah patah saat baru dibuka,anger,sadness,0.5814487
burung sakit sama kaki nya ga normal bang kenapa di kasih ke saya,fear,anger,0.66839325
mesen 4 yg datang hnya 3 saja yg satu bosnya kosong ngk ada isinya,fear,anger,0.46987665
sangat jelek krn kiriman tidak lengkap,anger,sadness,0.5200618
ada cacat sedikit dan overpriced untuk plastik seperti itu,fear,sadness,0.46881437
kurang sesuai dengan deskripsi yg katanya muat untuk 7 13 tahun anak 10 tahun aja kekecilan panjangnya juga bukan 78 hanya 75,fear,sadness,0.51555735
barang di terima banyak yg bocor keluar dan banyak yg kosong barang tidak sesuai deskripsi,sadness,fear,0.73341995
hadiah gak di kirim toko offical tapi gak amanah kapok dah,fear,anger,0.79710805
awalnya saya tanya 9 warna semua ready setelah bayar 27 jam kemudian baru dibilang beberapa 4 warna habis jgn kayak gitulah jadinya sy harus cari lagi warnanya,sadness,fear,0.50014067
barang sesuai build qualitynya cukup oke respon seller jg cepat overall selalu puas belanja disini thx,happy,love,0.74610263
beli 2 kotak isi total 20 buah pie terdapat 5 buah pie yang sudah jamuran padahal paket langsung dibuka sesaat setelah diantar kurir dan expire date juga masih 1 bulan lebih coba cek ulasan banyak pembeli juga mengalami kendala pie berjamur jelek sekali kontrol kualitas pie susu ini kasian reputasi toko ini ikutan rusak gara gara produk yang tidak dijaga reputasinya oleh pemilik produk maaf ya kaka penjual ini ulasan jujur mungkin bisa disampaikan kepada produsen produk agar memperbaiki kontrol kualitas produknya,fear,sadness,0.48124805
barang sesuai deskripsi pegangan kokoh dan stabil packaging aman dan bagus orderan ke 4 selalu puas seller gercep hari minggu dikirim kurir cepat next order lagi,love,happy,0.6062217
bocor dari sambungan karet ke keran dan bocor dri tengah2 tempat drat karna gk rapat mau di rapatkan gk bisa karna terasa sudah mentok,sadness,fear,0.57132035
bahan ny sih bagus cm sayang pesen nya 2 datang ny 1 d chat ke seller ny jg d d baca boro boro ada penjelasan seller g asiiiik g bs d ajak komunikasi,sadness,fear,0.4214476
barang sudah sampai dengan selamat barang sesuai dengan deskripsi produk packing oke recommended seller,love,happy,0.94213575
tidak suka dengan respon yg tidak bagus banget,anger,sadness,0.5832009
bahan bukan katun asli,sadness,anger,0.76742077
sesuai randomnya bahan sesuai expektasi terima kasih,love,happy,0.96495414
awal dikirim brg sih packing rapih ya tp ada bocel sm kaki tripod karetnya ada yg ilang trs saya balikim barangnya saya kasih bubble wrap buat balikin tp seller kirim brg barunya sama sekali ga pake bubble wrap alhasil banyak lecet penyok2 dibilang dr seller ktnya hrs xtra bubble wrap tau gt saya balikinnya gausa make bubble wrap,anger,fear,0.44162622
check in nya gampang bgt cuma kasih liat aja invoice sama ktp next mau lah order voucher lagi di sini makasih,love,happy,0.8476226
alat linting nya patah rusak,fear,anger,0.5208501
sudah kuduga kalau beli banyak pasti ada beberapa yang barangnya dikasih dalam kondisi cacat dan ternyata beneran dong wkwk yang pecah malah barang di urutan ke 4 9 dari total 24 item yang saya order kualitas barang ternyata hanya plastik tipis tidak sesuai perkiraan saya karena yang ditampilkan toko hanya tampilan depan saja overall i wouldn t recommend this to y all,fear,sadness,0.7238188
efektif menyaring kotoran manteb lah jadi jernih banget ini air,happy,love,0.6141818
kok hancur tempenya saya dikasih yg puing2 tempe yg utuh hanya beberapa kecewa sih kan saya di sini bayar,sadness,anger,0.87391347
karungnya super tipis tidak sesuai di gambar,anger,sadness,0.43993622
baso nya asemmm basi rasa ngga enak banget deh mungkin orang beda beda yah soal rasa untuk luar pulau pikir2 deh klau mau beli di jamin basiii,anger,sadness,0.72716
maaf saya kasih bintang 1 karena paketnya tidak sampai ke saya langsung sempat nyasar ke tempat lain karena penerimanya sama dengan nama saya untungnya penerimanya langsung menghubungi saya tapi pas saya ambil ternyata isi nya cuma 1 box sesuai foto padahal saya pesan 3 box si penerima mengaku tidak mengambil 2 box sisanya alamat bisa tidak sampai ke saya karena label alamatnya tidak dibungkus pakai lakban kertas bening jadinya berdebu kena air bisa pudar kan,fear,sadness,0.44297197
pengirimannya cepat amanah,love,happy,0.9951864
mantap datang lengkap sesuai dengan orderan saya dan saya puas belanja disini selama dapat cashback gede,happy,love,0.83915836
pesan warna coklat yg sampai warna abu abu lain kali tolong klo mau jualan lebih profesional lagi,anger,fear,0.68224335
barang nya sampai dengan selamat sudah di coba dan lumayan bagus sesuai harga next akan beli lagi alat yang lainnya packaging aman dan bagus,love,happy,0.9182237
chat tidak di balas kuota yang di janjikan 50gb nya tidak masuk hancur la parah parah,anger,sadness,0.65255773
no good tidak puassss,anger,sadness,0.36190897
batery remote stick cepet habis signal remote juga kadang ada kadang tidak ada apa ada ide agar awet dan signal stabil,fear,happy,0.7781439
layanan seller sangat jelektidak ada pemberitahuan di deskripsi toko atau di deskripsi produk kalau order diatas jam 12 di proses besok karena alasan overload penjual telat memproses order konsumen tidak mungkin memahami kasus overload seharusnya kalau overload produk tidak di munculkan atau toko stop terima orderan jangan konsumen jadi korban overload sellersaya order dengan ongkir reguler tapi hasilnya sama dengan free ongkir ini namanya bentuk penipuan ke konsumentokopedia sebagai platform harusnya berhati hati dengan seller yang tidak memberikan pelayanan terbaik,anger,fear,0.53197
respon dan proses cepat pengiriman juga toko rekomendasi,love,happy,0.89273417
barang bagus segel utuh original berfungsi dengan bener seller respon nya ajib cepat amir uda gt kasi sarannya pas banget lg dengan kebutuhan mantabbb,happy,love,0.76256996
earcupnya lembut best value headset sound mantap nyaman dan praktis tinggal plug and play mantaaaap laaah buat gamer,love,happy,0.94506395
bahan bagus sih tapi warna foto sm asli beda,happy,sadness,0.49404812
packingnya cm kresek krg aman jd pas dateng peot pdhl buat d jual haduhh,sadness,fear,0.31150594
barang tiba dengan aman mantap deh terimakasih,love,happy,0.7863962
penjual sama sekali tdk memperhatikan catatan pembeli malahan menyalahkan pembeli,anger,fear,0.5787476
udah beli banyak ada 1 yg rusak mau tukar ga bisa pake belibet aturan cape deh,anger,sadness,0.41858315
sangat kecewa dengan barang yg di terima segel samsung sudah terbuka katanya dari sananya di dlm plasti segel ada kartu byu sudah di buka segel pelaatiknya yg makin parah layar banyak sidik jari tertinggal baru buka curiga curang tokonya barang mukin di tukar2 sama yg kw seperti kepala carger kabel dll hati2 di toko ini harus lebih waspada dan di tanya detail kedua penjelasan juga gak bisa selalu bilang gak tau kaka dari sana dari sana kalo dari samsung asli sesuai pembicaraan buat apa samsung buat segel bahkan ada tulisan jangan terima segel rusak kurang baik pokonya toko ini ngerasa barang bekas,sadness,fear,0.7208407
ringan bgt enak dipakainya dan batang pel nya kokoh ga nyangka harga semurah ini tp kualitasnya bagus bgt pel an nya bs mutar 360 derajat bikin gampang ngepelnya ga harus manuver belok2 bikin pegal,love,happy,0.68641603
baru dipake 6x charger indikator udh ga nyala udh ga bisa dipake gimana ini sampe sekarang belum ada tindakan nyata pengurusan garansi 28 10,fear,sadness,0.48792648
puas banget sempet error di kurir mau pake gercep seller nya respon bgt sama2 cari solusi order ulang ga pelit ada yg dikasih tambahan dikit2 makasi ya kak jaya selalu tokonya,love,happy,0.5092543
ga berfungsi dengan baik,sadness,fear,0.7054614
halo penerbit haru bukunya sampai dengan cepat tapi pengemasannya sangat kurang mohon menggunakan bubble wrap supaya tidak terjadi kerusakan dalam pengiriman sangat disayangkan pengemasannya tidak ada pengamanannya jadi buku yg saya terima sedikit kurang baik terimakasih,sadness,fear,0.52245075
mantap,happy,love,0.88937515
mantap kalau di cium aromanya sedikit ada perubahan dari yang sebelumnya,love,happy,0.72047615
pesanan sesuai warnanya cuman bahannya tipis banget ya kalau dipakai foto masih tembus bagian belakang tapi kualitas menyesuaikan harga sih,happy,sadness,0.6470344
sprti barang bekas,anger,sadness,0.54143953
alhamdulillah brng sdah sya trima recomended,happy,love,0.9105187
mantabsss barang ori rambut makin subur dan sudah agak kelihatan warna hitam nya,happy,love,0.5107871
mantap packing rapi mantap pokoknya,love,happy,0.9279401
ga sesuai dengan yg di posting,sadness,fear,0.7787273
produk sesuai pengiriman cepat packing aman recommended seller,love,happy,0.69843626
recommended seller fast respons kualitas barang cukup sesu i harga terimakasih,happy,love,0.68109155
pesanan udh selesai apaan orang barang tidak di terima sudah ajukan komplain nungguin lama sampe saiki ga dpt barang malah di minta penilaian barang kecewa berat deh,anger,sadness,0.60078555
bintang yang berbicara,happy,sadness,0.7797729
sesuai proses n pengiriman cepat responsif recommended barokah terima kasih,love,happy,0.949493
3 penyok parah banget gk layak jual dan sobek parah padahal udh sering beli dikasihnya jelek banget gg bang,sadness,anger,0.9231802
gan ini gimana ya gorrilapod nya ga cocok sm kamera saya bahkan untuk bawaannya aja ga bisa masuk ga sesuai yang di gorillapod terlalu besar padahal saya sudah diskusi tanya apakah bisa untuk fuji xa 3 dan agan jawab bisa ini kebesaran ga muat di lubangnya di lubang untuk jd tongsis hp pun ga bisa dipasang barangnya bagus tapi ga sesuai dan gak bisa saya gunakan jadinya,anger,fear,0.6289268
gk nyalah parah,anger,fear,0.56287384
respon jelek,sadness,anger,0.84468794
barang sudah sampai beberapa hari tapi baru hari ini sempat dibuka dan mau dipakai ternyata ada jahitan di dalam yg terbuka negative quality control,sadness,fear,0.5925117
mantul langsung nempel,love,happy,0.75114083
katanya disuruh pakai bubblewrap utk keamanan barang tapi tetep aja barangnya ga dikasih bubblewrap padahal berbayar,sadness,anger,0.9281562
debessss,love,anger,0.88345903
jelek bgt bikin kecewa,anger,sadness,0.69064593
puas banget dengan sofa nya bagus dan adminnya sangat membantu saya minta tolong sebelum tahun baru dan benar hari ini barang langsung sampai terima kasih banyak,happy,love,0.6442462
mantappp responnya juga memuaskan sudah dicoba dan dipasang presisi dan nyaman cas juga responsif,happy,love,0.5846883
pembelian ke 2 besok2 packingnya tolong di benahi cuma bubble doang lakban seadanya bolong sebelah,fear,anger,0.72504693
bukunya sampe di makassar rusak ujungnya baru sempat unpack entah cara packing nya kurang tebel or kurirnya bermasalah agak ga rela sih soalnya bukunya lumayan mahal,fear,sadness,0.8855168
barang error 1,sadness,anger,0.43752557
sudah nga secepat dan serapi dulu,sadness,fear,0.4298444
susah d pakainya angin banyak yg bocor,fear,sadness,0.5610454
plastik pecah jd lembek sebagian,fear,sadness,0.7574726
barang cepat sampe penjual fast respond cuma dpt produk yg covernya agak lecek,happy,fear,0.47179976
barang mendarat produk original sesuai dengan deskripsi kemasan rapi seller ramah fast respon pengiriman pun cepat pokok nya recomended dah makasih tokopedia makasih admin,love,happy,0.82506245
udah 2x beli ga awet banget yg pertama rusak rel nya macet beli lagi eh relnya kendor ga mau kenceng beltnya,anger,sadness,0.6395247
barang tipis banget jd sampai udh pecah jd langsung buang tempat sampah,sadness,anger,0.5051579
maaf ya kak kasih bintang 3 soalnya bagian dalam tas sobek terus reseletingnya dol susah dibuka tutup lain kali tolong cek dulu,sadness,fear,0.6582037
pembelian yg kesekian kali disini,happy,anger,0.33520633
barang pecah bagian atas kecewa,sadness,anger,0.473236
kesekian kalinya order disini gingseng nya ckup membantu untuk menaikkan imun tubuh dalam kondisi saat ini selain bisa digunakan untuk soup ayam bisa juga direbus dan diminum air rebusannya thank you,love,happy,0.710592
ga ada packing bubble nya,anger,fear,0.5990894
pengiriman lama banget kurirnya gagal pickup terus setrikanya ternyata besar dan lumayan berat packingnya tipiss cuma bublewrap selapis kualitas strikanya jg kurang menurutku soalnya ga terlalu panas jd lama setrikanya,fear,sadness,0.59871465
harga di struk yang dimasukkan di kotaknya beda dengan harga yang ditampilkan di tokopedia kok bisa harganya lebih mahal ya di struk beda jauh harganya,fear,anger,0.67901146
modelnya cantik bahannya adem nyaman dipakai jahitan rapi warnanya cantik mudah dibentuk,love,happy,0.8230942
bagus bgt seller baikbgt minta tolong kirim hari ini karena buru2 buat kado lgsg dikirim dan hasil cetak fotonya jg bagusbgt,happy,love,0.91365725
barang palsu bukan hot wheels original made in china bukan made malaysia spt diskripsi,fear,anger,0.6496816
artemia dtg udah byk yg mati,fear,sadness,0.46829125
warnanya lucu kecil dan ringan tp jd keliatan ga kokoh kayak mudah rusak barang datangnya kayak ga baru banyak yg lecet di body embernya tangkainya mesti di wrapping biar ga gesek ke body ember,fear,sadness,0.5931365
warna yg dipilih kuning knp dikasih yg hijau,anger,fear,0.3994751
lama pengirimannya,fear,sadness,0.6314039
respon seller lambat 2 hari dl baru barang dikirim,fear,sadness,0.39156258
tidak pengaruh,sadness,anger,0.45532075
